,event_uid,user_uid,popcorn_id_1,popcorn_id_2,score,timestamp
0,1,VAS,5,2,-2.0,1712416164
1,2,,2,3,1.021,1712416206
2,3,VAR,5,2,-0.226,1712416280
3,4,VAR,5,2,0.226,1712416328
4,5,VAR,5,2,-0.021,1712416343
5,6,VAR,5,2,0.349,1712416362
6,7,ett,2,3,2.0,1712416623
7,8,ett,3,4,-2.0,1712416691
8,9,ett,3,4,-2.0,1712416691
9,10,ett,3,4,-2.0,1712416693
10,11,Mkr,5,3,0.922,1712416693
11,12,ett,3,4,-2.0,1712416693
12,13,Mkr,5,3,-0.356,1712416694
13,14,ett,3,4,-2.0,1712416694
14,15,BAR,2,3,-0.097,1712416734
15,16,ett,8,5,-2.0,1712416734
16,17,ett,6,1,-2.0,1712416766
17,18,BAR,8,3,0.922,1712416770
18,19,ett,3,4,-2.0,1712416787
19,20,ett,1,8,2.0,1712416810
20,21,BAR,4,1,2.0,1712416878
21,22,fem,4,5,2.0,1712417085
22,23,Nio,1,6,-2.0,1712417097
23,24,fem,5,6,-2.0,1712417113
24,25,fem,6,7,-0.987,1712417137
25,26,sax,8,6,0.906,1712417137
26,27,fem,7,8,1.093,1712417158
27,28,Nio,8,7,-0.234,1712417169
28,29,SOL,4,2,0.997,1712417174
29,30,omg,5,3,-2.0,1712417213
30,31,Nio,6,5,-2.0,1712417215
31,32,fem,1,2,-0.987,1712417225
32,33,Nio,6,4,-2.0,1712417252
33,34,sax,1,7,-1.008,1712417254
34,35,fem,3,2,-2.0,1712417257
35,36,sax,7,2,-1.856,1712417274
36,37,SOL,3,5,1.005,1712417276
37,38,Nio,6,3,-2.0,1712417288
38,39,,3,6,2.0,1712417290
39,40,omg,2,8,-2.0,1712417300
40,41,sax,4,8,-0.804,1712417304
41,42,sax,2,7,-0.833,1712417323
42,43,Nio,6,3,-2.0,1712417330
43,44,SOL,1,5,1.073,1712417340
44,45,sax,8,1,0.964,1712417342
45,46,,5,8,-0.995,1712417343
46,47,Nio,2,6,0.979,1712417383
47,48,Nio,2,6,0.979,1712417384
48,49,,7,2,0.985,1712417391
49,50,SOL,8,3,1.056,1712417422
50,51,SOL,8,7,-1.464,1712417499
51,52,AMC,5,8,-1.446,1712417565
52,53,AMC,5,8,1.562,1712417580
53,54,AMC,4,3,2.0,1712417597
54,55,Krv,5,3,-0.539,1712417621
55,56,AMC,7,6,-1.045,1712417630
56,57,AMC,4,7,1.528,1712417646
57,58,Krv,1,2,0.931,1712417649
58,59,Krv,5,3,-0.522,1712417675
59,60,AMC,3,1,2.0,1712417677
60,61,Krv,1,4,-1.322,1712417701
61,62,Krv,8,4,-1.427,1712417723
62,63,AMC,7,1,-1.074,1712417723
63,64,AMC,5,2,-1.115,1712417749
64,65,AMC,8,2,-0.631,1712417765
65,66,Fot,7,2,1.427,1712417767
66,67,SKO,5,1,-1.122,1712418090
67,68,SKO,4,7,-1.409,1712418143
68,69,SEX,8,1,0.843,1712418193
69,70,SKO,7,1,1.409,1712418203
70,71,SKO,2,7,1.627,1712418232
71,72,SKO,2,1,2.0,1712418256
72,73,SKO,8,2,0.984,1712418288
73,74,SKO,7,1,1.218,1712418307
74,75,SKO,6,3,1.462,1712418328
75,76,SEX,6,2,0.794,1712418559
76,77,Tax,4,3,2.0,1712418567
77,78,SEX,2,1,-0.746,1712418587
78,79,Tax,2,1,-1.05,1712418616
79,80,Tax,6,7,-2.0,1712418639
80,81,Tax,2,7,1.092,1712418668
81,82,Tax,8,3,0.953,1712418700
82,83,Tax,2,7,0.705,1712418723
83,84,SEX,1,7,0.551,1712418728
84,85,Tax,1,7,-2.0,1712418737
85,86,FAX,2,3,1.097,1712419232
86,87,FAX,1,2,1.097,1712419248
87,88,FAX,3,4,1.097,1712419278
88,89,FAX,5,6,2.0,1712419364
89,90,FAX,7,8,0.892,1712419440
90,91,FAX,2,5,1.938,1712419471
91,92,LOV,4,6,2.0,1712422511
92,93,LOV,5,8,-2.0,1712422531
93,94,LOV,6,3,-1.005,1712422551
94,95,LOV,1,5,0.995,1712422569
95,96,LOV,7,1,2.0,1712422579
96,97,SEX,4,5,-1.556,1712423019
97,98,,1,7,2.0,1712423290
98,99,,7,6,2.0,1712423316
99,100,,4,1,2.0,1712423333
100,101,VHS,5,7,0.668,1712424937
101,102,VHS,8,1,-1.568,1712424969
102,103,Far,6,1,1.183,1712425706
103,104,Far,5,3,-0.914,1712425732
104,105,Far,2,7,0.269,1712425795
105,106,Far,1,7,1.469,1712425827
106,107,Far,2,5,1.918,1712425857
107,108,Far,7,5,1.649,1712425877
108,109,Baj,1,4,2.0,1712425950
109,110,Baj,7,3,-2.0,1712425978
110,111,Far,2,4,0.23,1712425983
111,112,Baj,6,3,-1.845,1712426012
112,113,Far,6,8,-1.677,1712426034
113,114,SEX,8,3,-0.892,1712426871
114,115,ARA,6,7,-2.0,1712426879
115,116,SEX,6,2,-0.94,1712426925
116,117,ARA,8,6,2.0,1712426936
117,118,SEX,2,1,1.816,1712426962
118,119,ARA,4,7,-0.731,1712427117
119,120,ARA,3,8,2.0,1712427176
120,121,ARA,1,7,-0.847,1712427255
121,122,ett,8,4,-2.0,1712427308
122,123,ett,7,8,1.951,1712427331
123,124,ett,7,3,-2.0,1712427353
124,125,ett,4,6,1.951,1712427376
125,126,ARA,5,3,-2.0,1712427387
126,127,ett,4,7,-0.786,1712427406
127,128,ett,1,2,-0.905,1712427427
128,129,ett,4,7,-0.857,1712427449
129,130,ett,1,6,2.0,1712427476
130,131,ett,5,4,-1.976,1712427492
131,132,ett,8,6,1.881,1712427513
132,133,ett,4,2,-0.643,1712427556
133,134,ett,1,3,-0.905,1712427577
134,135,ett,6,3,-2.0,1712427600
135,136,ett,1,8,1.119,1712427638
136,137,SEX,5,6,0.763,1712429663
137,138,SEX,1,6,-0.486,1712429754
138,139,SEX,5,1,2.0,1712430168
139,140,VIP,7,3,1.897,1712430445
140,141,VIP,2,5,0.762,1712430516
141,142,SVT,3,8,2.0,1712430533
142,143,VIP,6,2,-0.956,1712430552
143,144,SVT,3,1,1.168,1712430615
144,145,VIP,7,6,0.811,1712430619
145,146,VIP,7,1,-1.524,1712430659
146,147,SVT,2,4,-1.831,1712430679
147,148,Rar,4,1,1.475,1712431758
148,149,Rar,5,7,-2.0,1712431837
149,150,Rar,6,2,-0.914,1712431865
150,151,Rar,2,5,2.0,1712431894
151,152,Rar,1,5,1.257,1712431969
152,153,Rar,6,4,-0.626,1712432000
153,154,Rar,8,5,1.001,1712432023
154,155,Rar,1,3,-1.322,1712432043
155,156,Sht,4,1,-1.493,1712445814
156,157,Sht,1,7,-1.042,1712445883
157,158,Sht,2,5,2.0,1712445907
158,159,Sht,2,1,0.878,1712445940
159,160,Eja,5,7,-2.0,1712445990
160,161,Eja,5,1,-1.94,1712446012
161,162,Sht,3,6,1.495,1712446059
162,163,Eja,3,6,-1.052,1712446084
163,164,Eja,5,6,-2.0,1712446093
